task_id	name	status	priority	issue_type	app_section	owner	parent	notes	created_at	completed_at
1213387118254130	Current behavior over rides AFTER but doesn't apply to new layers	Completed				Unassigned	Set Default Colors  and lines for new layers in Project Settings		2026-02-22 19:09:27	2026-04-22 18:44:10
1213152762510379	d	Completed				Unassigned	change the way groups work. I don't need to select to layers to group		2026-02-06 17:43:18	2026-04-22 18:43:18
1213070073876286	Double-click keyframe creation	Completed			Timeline	Unassigned		Issue: I should be able to double click anywhere on timeline to add a second keyframe (currently I need to move the timeline scrubber to be able to do it).\n\nAdditional Requirement: Timeline position line should move to where double click occurred.\n\nExpected Behavior: Double-clicking any timeline position should create a keyframe at that exact location and move the scrubber there.\n\nDouble clicking on an existing keyframe should remove it	2026-02-01 15:46:20	2026-02-03 18:07:05
1213142138288924	drag and drop folder and layer	Completed			File System	Unassigned		should be improved show a line where I will drop project or highlight the folder to drop in a folder if it is collapsed	2026-02-05 16:47:13	2026-02-06 18:14:15
1213142145201270	Fix alignment indent (comp it in photoshop after other fixes)	Completed			File System	Unassigned			2026-02-05 17:17:17	2026-02-06 18:14:14
1213070073876292	Fix end frame behavior issues	Completed			Timeline	Unassigned		Issue: There is some wonky behavior with the end frames (stress test required).\n\nSpecific Problems:\n\n    Last frame isn't working as expected\n    I should be able to move first frame\n    The only way to resize the layer bar should be by moving the first or last frame\n\nAction Required: Conduct stress testing to identify and resolve end frame manipulation issues.	2026-02-01 15:46:21	2026-02-03 18:07:08
1213070073876375	Fix HTML exporter	Completed		Technical Debt	Exporters	Unassigned			2026-02-01 16:22:24	2026-02-01 22:41:28
1213070073876290	Fix loop mode keyframe editing	Completed			Timeline	Unassigned		Issue: Selecting loop on a layer makes editing the last key frame not possible.\n\nProposed Solution: Move the loop icon on the layer to the left of the drag icon (folder column).\n\nExpected Behavior: When loop mode is enabled, users should still be able to edit the last keyframe. Moving the loop icon should resolve UI conflicts.	2026-02-01 15:46:21	2026-02-03 17:55:45
1213103502476649	Fix looping of layer	Completed			Timeline	Unassigned			2026-02-03 17:06:25	2026-02-03 18:06:54
1213070073876321	Fix position property timing	Completed				Unassigned		Task: Position Y and X should apply before instances repetition.\n\nStatus: Completed (crossed out in original list)\n\nExpected Behavior: When using instance repetition, position transformations should be calculated and applied before the repetition occurs, not after.	2026-02-01 15:47:06	2026-02-01 15:47:29
